curriculum_steps,training_time,h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
25,52260,0.026787955313920975,0.0032517046201974154,0.09805886447429657,0.1084550991654396
20,62686,0.02768288366496563,0.0033797225914895535,0.09891428053379059,0.1138802245259285
15,72725,0.022208478301763535,0.003351248800754547,0.06004950776696205,0.07405100017786026
10,78280,0.024491718038916588,0.0026297499425709248,0.0664694532752037,0.07797378301620483
5,86385,0.035854898393154144,0.003354673506692052,0.0914984866976738,0.09351920336484909
0,94517,0.037859153002500534,0.0035404374357312918,0.07421286404132843,0.08403835445642471
