curriculum_steps,training_time,h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
25,52260,0.08923263847827911,0.010244416072964668,0.78455650806427,0.7510427236557007
20,62686,0.09145322442054749,0.011739114299416542,0.7825326323509216,0.7534655928611755
15,72725,0.07237929850816727,0.009537221863865852,0.8228673934936523,0.7949522137641907
10,78280,0.07385582476854324,0.009171606972813606,0.819301426410675,0.7937509417533875
5,86385,0.10508124530315399,0.010683882981538773,0.739797055721283,0.7076698541641235
0,94517,0.12020057439804077,0.013321133330464363,0.7226799726486206,0.6751545071601868
