hid_features,n_layers,total_parameters,speed-up(cpu),h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
64,9,107786,1.656198912889358,0.15200838446617126,0.015157756395637989,0.6794672012329102,0.6181114912033081
64,8,103690,2.0280089425940035,0.11546208709478378,0.011430914513766766,0.6859909892082214,0.6438076496124268
64,7,99594,2.3032679643750367,0.1352166384458542,0.010716152377426624,0.642197847366333,0.6037782430648804
64,6,95498,2.440367319133487,0.11684827506542206,0.00966708641499281,0.6659723520278931,0.6309844255447388
64,5,91402,2.5832039689926405,0.14724795520305634,0.015275144949555397,0.6078061461448669,0.5701040625572205
64,4,87306,3.231474035492147,0.1574864238500595,0.011272371746599674,0.5625146627426147,0.5358177423477173
64,3,83210,4.67738262159248,0.449983686208725,0.06519773602485657,0.5241122841835022,0.4775617718696594
64,2,79114,6.2069014968761795,0.28078925609588623,0.054423559457063675,0.4550600051879883,0.4258549213409424
64,1,75018,13.166163121521748,0.19529464840888977,0.010914593935012817,0.4516652226448059,0.38222187757492065
32,9,27274,4.041245865651422,0.13156411051750183,0.014975587837398052,0.6539806127548218,0.6125872135162354
32,8,26250,4.14070786652959,0.5093363523483276,0.02871917560696602,0.5875908136367798,0.5032715797424316
32,7,25226,5.271004260640154,0.1338004171848297,0.009874981828033924,0.6415457129478455,0.5971274375915527
32,6,24202,6.287104470223403,0.12441547960042953,0.015835650265216827,0.6722060441970825,0.6317765116691589
32,5,23178,7.601104042696052,0.14393317699432373,0.015036468394100666,0.6283081769943237,0.5790597796440125
32,4,22154,8.471245207674839,0.16392824053764343,0.01610151305794716,0.573905348777771,0.5303658843040466
32,3,21130,10.565230838418849,0.1920158565044403,0.014864623546600342,0.54546058177948,0.49769896268844604
32,2,20106,13.742235944084845,0.26864326000213623,0.020948970690369606,0.47394925355911255,0.4169697165489197
32,1,19082,25.453651194390368,0.4239734709262848,0.04032281041145325,0.4381978511810303,0.3574666380882263
16,9,6986,8.080954192618176,0.12601354718208313,0.015436249785125256,0.650908350944519,0.613603413105011
16,8,6730,8.504618030655442,0.20066246390342712,0.015461942180991173,0.6058701276779175,0.5517922639846802
16,7,6474,8.503893359712414,0.32531532645225525,0.019215382635593414,0.5836837887763977,0.5051488280296326
16,6,6218,11.24881148823804,0.13142618536949158,0.009752870537340641,0.6445767283439636,0.6095805168151855
16,5,5962,13.270176541475996,0.16198399662971497,0.014918413944542408,0.6058938503265381,0.5650981068611145
16,4,5706,17.176727151289484,0.13204163312911987,0.014623341150581837,0.5855758786201477,0.5618049502372742
16,3,5450,18.587623891429384,0.27072176337242126,0.028266310691833496,0.49371400475502014,0.44266563653945923
16,2,5194,25.939702928613183,0.3839218020439148,0.10253840684890747,0.483787477016449,0.458101361989975
16,1,4938,48.20272357749372,0.18088820576667786,0.013895459473133087,0.4235479235649109,0.3774741590023041
8,9,1834,13.292029185549742,0.1310533583164215,0.010539984330534935,0.5628716349601746,0.5201252698898315
8,8,1770,17.00395894532327,0.16205981373786926,0.00924662034958601,0.41626429557800293,0.37823203206062317
8,7,1706,16.046623042903885,0.14079885184764862,0.009709564037621021,0.5577491521835327,0.5098454356193542
8,6,1642,19.119027928676807,0.20415568351745605,0.011143815703690052,0.56061851978302,0.507047712802887
8,5,1578,22.38808690668315,0.12629082798957825,0.010244952514767647,0.572675883769989,0.5394309163093567
8,4,1514,25.263347277704238,0.15811105072498322,0.018612805753946304,0.5625694990158081,0.518307089805603
8,3,1450,34.5972534623682,0.2696797251701355,0.031844574958086014,0.4674685001373291,0.40600329637527466
8,2,1386,36.55932843814798,0.5354437828063965,0.02941545844078064,0.4575735926628113,0.39519399404525757
8,1,1322,85.34242650144326,0.21951885521411896,0.009934068657457829,0.1082046777009964,0.12240190804004669
