hid_features,n_layers,total_parameters,speed-up(cuda),h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
64,9,107786,11.227765638425765,0.027028029784560204,0.003416134277358651,0.08789073675870895,0.09102035313844681
64,8,103690,13.140115152342611,0.022198429331183434,0.0033440112601965666,0.060287825763225555,0.07413814216852188
64,7,99594,14.363012269423256,0.029770350083708763,0.003201865591108799,0.08810291439294815,0.08075537532567978
64,6,95498,17.116269922161056,0.02549274079501629,0.003861210308969021,0.057711951434612274,0.06377580761909485
64,5,91402,19.144498236423562,0.029749425128102303,0.0038239064160734415,0.10054367780685425,0.10532842576503754
64,4,87306,20.328822233823075,0.04588719829916954,0.003337428905069828,0.09088871628046036,0.11490007489919662
64,3,83210,26.198878374463394,0.04639427363872528,0.0031540412455797195,0.1074889525771141,0.1275152713060379
64,2,79114,37.23289408654022,0.04549459367990494,0.0027441612910479307,0.0835103839635849,0.10828430950641632
64,1,75018,63.42963772678183,0.0468401163816452,0.0031088930554687977,0.061036765575408936,0.06518655270338058
32,9,27274,10.993545121239306,0.02690236084163189,0.002938860794529319,0.11068174242973328,0.10467708855867386
32,8,26250,11.864994003834168,0.01989973522722721,0.0024705673567950726,0.05912204831838608,0.08561879396438599
32,7,25226,13.817891068071408,0.027394874021410942,0.002961658639833331,0.060306254774332047,0.06935164332389832
32,6,24202,15.688788381848031,0.023535586893558502,0.003096602624282241,0.07702772319316864,0.08769246935844421
32,5,23178,18.011146512820726,0.028620561584830284,0.002478155307471752,0.11126765608787537,0.11266716569662094
32,4,22154,21.715923310801138,0.03622990846633911,0.0034639351069927216,0.07268494367599487,0.0870964452624321
32,3,21130,27.00104318089368,0.04316398873925209,0.0032177544198930264,0.0947428047657013,0.10719374567270279
32,2,20106,37.21405658736217,0.04621428623795509,0.003094049636274576,0.0946749597787857,0.09002526104450226
32,1,19082,57.567260260172375,0.055088113993406296,0.006243521813303232,0.07800698280334473,0.08010835200548172
16,9,6986,11.168032131417897,0.027171578258275986,0.003498550970107317,0.09490634500980377,0.09207303076982498
16,8,6730,12.331628861743566,0.03138386830687523,0.0037192709278315306,0.08033300191164017,0.08998142927885056
16,7,6474,13.902394097970902,0.02924741618335247,0.0024492782540619373,0.07221859693527222,0.08816850185394287
16,6,6218,16.068890532272494,0.02133691869676113,0.002326232148334384,0.07773597538471222,0.07604098320007324
16,5,5962,19.779426433921522,0.03281841427087784,0.003970298916101456,0.1033598855137825,0.10815195739269257
16,4,5706,21.81145069846629,0.03623420372605324,0.0033685520756989717,0.10834777355194092,0.11645475775003433
16,3,5450,25.294591004679997,0.035392142832279205,0.0037298707757145166,0.1096276044845581,0.11585219949483871
16,2,5194,34.719482478680504,0.04081926867365837,0.006379806902259588,0.060559798032045364,0.0878848135471344
16,1,4938,63.918229668130046,0.03619770705699921,0.0037135896272957325,0.09838853776454926,0.0886557474732399
8,9,1834,11.08043485314853,0.039869774132966995,0.003559982869774103,0.10216135531663895,0.10660123825073242
8,8,1770,12.156659983888346,0.0428340844810009,0.0030619411263614893,0.13052336871623993,0.12994711101055145
8,7,1706,14.098744478353838,0.04099583253264427,0.0032219099812209606,0.1054883599281311,0.1058228388428688
8,6,1642,16.01691678255806,0.033231470733881,0.0034456192515790462,0.07942844182252884,0.08792178332805634
8,5,1578,19.425885948571093,0.03023170493543148,0.003102533984929323,0.09544481337070465,0.11066096276044846
8,4,1514,22.072968890573424,0.0337178073823452,0.0037686522118747234,0.08161386847496033,0.08224201202392578
8,3,1450,25.88019484627242,0.03869396820664406,0.00395554956048727,0.13364525139331818,0.13801531493663788
8,2,1386,35.92659662477129,0.03474358469247818,0.00265528354793787,0.12217871099710464,0.12684327363967896
8,1,1322,60.06699927879221,0.06853677332401276,0.003324676537886262,0.04363539069890976,0.02817164920270443
