hid_features,n_layers,total_parameters,speed-up(cpu),h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
64,9,107786,0.8157210893586349,0.02722177281975746,0.0034344776067882776,0.08918912708759308,0.09156638383865356
64,8,103690,1.0013429417833017,0.023892544209957123,0.0020385950338095427,0.0680161714553833,0.08559233695268631
64,7,99594,1.0594542594221303,0.02972440794110298,0.003202635096386075,0.08811067044734955,0.08081057667732239
64,6,95498,1.298091267986695,0.025495044887065887,0.003862666664645076,0.057721275836229324,0.06366311013698578
64,5,91402,1.4845759509565104,0.02977597340941429,0.0038294135592877865,0.10051760077476501,0.10512779653072357
64,4,87306,1.8306647872868917,0.04579784721136093,0.0033453472424298525,0.09026128053665161,0.11479688435792923
64,3,83210,2.644646561497307,0.0463700070977211,0.003156358143314719,0.10631915926933289,0.12636741995811462
64,2,79114,3.3340264782069577,0.04590340703725815,0.0027082909364253283,0.08322475105524063,0.10813848674297333
64,1,75018,5.281839027382852,0.04684043675661087,0.003108923090621829,0.061036091297864914,0.065182626247406
32,9,27274,1.7635568403202901,0.02690267190337181,0.0029391313437372446,0.1106857880949974,0.10468682646751404
32,8,26250,1.7099315712772507,0.019890071824193,0.0024707333650439978,0.059180788695812225,0.08566932380199432
32,7,25226,2.0447729257545286,0.027414673939347267,0.002963056555017829,0.06035463139414787,0.06934443861246109
32,6,24202,2.4194739654088644,0.023575857281684875,0.0030967709608376026,0.07701749354600906,0.08772946149110794
32,5,23178,3.07736771374032,0.028613606467843056,0.0024767813738435507,0.11123431473970413,0.11266788095235825
32,4,22154,3.928194072922678,0.03612193465232849,0.0034662997350096703,0.07250849157571793,0.08717205375432968
32,3,21130,5.3914393333076545,0.04315340518951416,0.0032825027592480183,0.09465350955724716,0.10719301551580429
32,2,20106,7.206601667798761,0.046211615204811096,0.003095005638897419,0.09468571841716766,0.09001319110393524
32,1,19082,11.620001545579846,0.05508793145418167,0.006243896204978228,0.07800697535276413,0.08010649681091309
16,9,6986,3.115170853946959,0.027224600315093994,0.0035053614992648363,0.09486571699380875,0.0920749381184578
16,8,6730,3.7385433696887453,0.0313793420791626,0.0037208651192486286,0.08036001771688461,0.0900079533457756
16,7,6474,4.152044542795065,0.0292469784617424,0.00244954414665699,0.07221649587154388,0.08816678076982498
16,6,6218,4.615398335369756,0.021345049142837524,0.0023226074408739805,0.07767469435930252,0.07606600970029831
16,5,5962,5.985513334741398,0.03273377567529678,0.0038946864660829306,0.10344988852739334,0.10825151950120926
16,4,5706,7.104230929951196,0.03622875735163689,0.003369391430169344,0.1083030253648758,0.11646124720573425
16,3,5450,10.416388936080045,0.03533163294196129,0.003723325440660119,0.10950951278209686,0.11574390530586243
16,2,5194,13.280663780688226,0.04091536998748779,0.00570526160299778,0.06055106595158577,0.08799023181200027
16,1,4938,19.90340085295907,0.036197833716869354,0.0037135989405214787,0.0983879491686821,0.08865229785442352
8,9,1834,4.211312622207546,0.03987015783786774,0.003559443634003401,0.10216265916824341,0.10660146921873093
8,8,1770,4.904094400802297,0.04283479228615761,0.0030618184246122837,0.13052229583263397,0.12995822727680206
8,7,1706,4.613080551172719,0.041001543402671814,0.0032219879794865847,0.10549810528755188,0.10583315044641495
8,6,1642,5.322164367466555,0.03333141654729843,0.0034632126335054636,0.07919260859489441,0.08740842342376709
8,5,1578,6.477916333535588,0.030521588400006294,0.003070499747991562,0.09563164412975311,0.11045559495687485
8,4,1514,7.53616169436457,0.033628612756729126,0.0037812828086316586,0.08157216012477875,0.082321897149086
8,3,1450,12.331790399481095,0.038730986416339874,0.003919312730431557,0.13363268971443176,0.13805168867111206
8,2,1386,14.304806785076027,0.03474117070436478,0.0026560118421912193,0.12219364941120148,0.12684325873851776
8,1,1322,30.511192270601747,0.06853678077459335,0.0033246767707169056,0.043635398149490356,0.02817164920270443
