rollout_steps,h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
9,0.027192557230591774,0.0035934315528720617,0.06507903337478638,0.07053316384553909
8,0.022216347977519035,0.003353958483785391,0.059981755912303925,0.07392307370901108
7,0.02655155211687088,0.003528761677443981,0.06613602489233017,0.08562640100717545
6,0.02911502495408058,0.0035025363322347403,0.10746541619300842,0.11382443457841873
5,0.033245593309402466,0.003346006153151393,0.08334911614656448,0.08849243819713593
4,0.028697434812784195,0.0030710871797055006,0.10795821249485016,0.12071404606103897
3,0.031370390206575394,0.0035008303821086884,0.09872183203697205,0.11389364302158356
2,0.03973029553890228,0.003028144594281912,0.12359017878770828,0.12474671006202698
1,0.035739775747060776,0.004119055811315775,0.06712927669286728,0.08636187762022018
